Molecule_Name,Smiles,Mouse_fup,Source
CHEMBL3892103,Cc1nc(C)n(CC(=O)N2CCN(c3sc(C(F)(F)F)nc3-c3nc4c(F)cccc4[nH]3)C[C@H]2C)n1,0.014,CHEMBL 35
CHEMBL5076678,N[C@@H]1C[C@H](C(=O)O)[C@@H](c2ccc(-c3cc(C(=O)O)cc4cc(-c5ccc(C(F)(F)F)cc5)ccc34)cc2)C1,1,CHEMBL 35
CHEMBL5081508,CC(=O)N[C@H]1CC(=O)NCCCC[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)c2nc3ccccc3s2)NC(=O)[C@H](CC(C)C)NC1=O,0.286,CHEMBL 35
CHEMBL4553678,C=C[C@]1(C)C[C@@H](OC(=O)COc2ccc3c(c2Cl)B(O)OC3)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,0.008,CHEMBL 35
CHEMBL4552978,C=C[C@]1(C)C[C@@H](OC(=O)COc2ccc3c(c2)B(O)N(C)N=C3)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,0.007,CHEMBL 35
CHEMBL5276146,CC(C)(C)c1cc(NC(=O)c2ccc(S(=O)(=O)N3CCCC3)cc2)n[nH]1,0.26,CHEMBL 35
CHEMBL3667415,NC1=N[C@@]2(c3cc(NC(=O)c4ncc(F)cc4F)ccc3F)CN(c3ncc(F)cn3)C[C@H]2CS1,0.025,CHEMBL 35
CHEMBL4452566,COc1cnc(C(=O)Nc2ccc(F)c([C@]34CN(c5ncc(F)cn5)C[C@H]3CSC(N)=N4)c2)cn1,0.031,CHEMBL 35
CHEMBL5182431,CC(C)C[C@@H](N)c1cc(C#N)c2cc(-c3ccncc3)ccc2n1,0.13,CHEMBL 35
CHEMBL5201888,CCc1nc([C@@H](N)CC(C)C)nc2cc(OC)c(-c3cnco3)cc12,0.1,CHEMBL 35
CHEMBL4546097,Cn1c(=O)n(CCCO)c(=O)c2c1nc(Oc1cccc(Cl)c1)n2Cc1ccc(Cl)cc1,0.004,CHEMBL 35
CHEMBL4209316,CNc1nc(Nc2ccc(-n3cnc(C)n3)c(OC)c2)nc2c1CC[C@H]2c1ccc(F)cc1,0.007,CHEMBL 35
CHEMBL4169114,CCOc1ccc(C(=O)Nc2cc(OC(F)(F)F)ccc2-n2cncn2)cc1OC,0.086,CHEMBL 35
CHEMBL3934548,O=C(O)[C@H]1CC[C@H](C(=O)N2CC[C@](c3ccc(C(F)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,0.105,CHEMBL 35
CHEMBL5394700,COc1ncc(C(=O)N2CCN(C(=O)/C=C/c3ccc4c(c3)OC(F)(F)O4)CC2)cn1,0.22,CHEMBL 35
CHEMBL5416410,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1.O,0.03,CHEMBL 35
CHEMBL4165225,C[C@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)N=C(N)CO[C@H]1C(F)(F)F,0.23,CHEMBL 35
CHEMBL4217988,N#Cc1cc(S(=O)(=O)Nc2ncns2)ccc1Oc1ccc(-c2cccc(C(F)(F)F)c2)cc1-c1ccnc(CNCCC2CCNCC2)c1,0.00281,CHEMBL 35
CHEMBL5193821,CCn1c(CO)nn(-c2nc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(C)cnc(OC)c3Cl)cc2F)c1=O,0.062,CHEMBL 35
CHEMBL4753907,CC(C)n1ncc2c1C(=O)CC1(CCN(C(=O)c3cc(-c4ccc(C(=O)O)cc4)nc(N(C)C)c3)CC1)C2,0.057,CHEMBL 35
CHEMBL4218112,CC(C)NCc1cc2cc3c(cc2n1C)CCCc1c-3[nH]c(=O)c(C(=O)O)c1O,0.16,CHEMBL 35
CHEMBL3989970,C=CC(=O)N[C@@H]1CN(c2nc(Nc3cn(C)nc3OC)c3ncn(C)c3n2)C[C@H]1F,0.2,CHEMBL 35
CHEMBL4590789,O[C@@H]1c2nonc2CC[C@H]1[C@H]1c2ccccc2-c2cncn21,0.27,CHEMBL 35
CHEMBL4878039,Cn1cncc1-c1cc(F)ccc1CN1CCP(=O)(O)[C@](CCCCN)(C(=O)O)C1,0.93,CHEMBL 35
CHEMBL3925871,Cn1cc(-c2ccc(F)c(C(F)(F)F)c2)nc1C1CCN(c2ncnc(N)c2-c2ccc(F)cc2)CC1,0.0003,CHEMBL 35
CHEMBL5435085,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(-c4noc(CN5CCCNCC5)n4)cc3OC)nc2N1C1CCCC1,0.0201,CHEMBL 35
CHEMBL2396989,NC1=N[C@@]2(c3cc(NC(=O)c4ccc(F)cn4)ccc3F)COC[C@H]2CS1,0.37,CHEMBL 35
CHEMBL5413640,COCCN(C(=O)c1[nH]c(C)c(Cl)c1Cl)c1nc2ccc(C(=O)O)cc2s1,0.11,CHEMBL 35
CHEMBL5419700,Cc1[nH]c(C(=O)/N=c2\sc3cc(C(=O)O)ccc3n2CC(=O)c2ccccc2)c(Cl)c1Cl,0.0001,CHEMBL 35
CHEMBL5431786,Cc1[nH]c(C(=O)Nc2nc3c(OC(C)c4ccc(S(C)(=O)=O)cc4)cc(C(=O)O)cc3s2)c(Cl)c1Cl,0.0325,CHEMBL 35
CHEMBL5410424,Cc1[nH]c(C(=O)Nc2nc3c(OC(C)c4ccc(CN5CCOCC5=O)cc4)cc(C(=O)O)cc3s2)c(Cl)c1Cl,0.0017,CHEMBL 35
CHEMBL4174307,CN(C(=O)[C@@H](CC(=O)O)Cc1ccccc1)c1nc(-c2ccccc2Cl)cs1,0.0015,CHEMBL 35
CHEMBL4164621,Cc1ccc(S(=O)(=O)c2cc(Cl)c(O)c3ncccc23)cc1,0.84,CHEMBL 35
CHEMBL4176594,Cc1ccc2nc(N3CCCc4ccc(F)cc4C3)cc(NC3(CN)COC3)c2c1,0.1,CHEMBL 35
CHEMBL4217988,N#Cc1cc(S(=O)(=O)Nc2ncns2)ccc1Oc1ccc(-c2cccc(C(F)(F)F)c2)cc1-c1ccnc(CNCCC2CCNCC2)c1,0,CHEMBL 35
CHEMBL4175981,CC(C)(C)[C@@H](CO)NC(=O)c1nn(-c2c[n+]([O-])ccn2)c2c1C[C@@H]1C[C@H]21,0.1,CHEMBL 35
CHEMBL4576039,C=C[C@]1(C)C[C@@H](OC(=O)COc2ccc3c(c2)B(O)OC3C)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,0.002,CHEMBL 35
CHEMBL4565868,C=C[C@]1(C)C[C@@H](OC(=O)COc2cc(C)c3c(c2)B(O)OC3)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,0.005,CHEMBL 35
CHEMBL4548875,C=C[C@]1(C)C[C@@H](OC(=O)COc2ccc3c(c2Cl)B(O)OC3CN)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,0.119,CHEMBL 35
CHEMBL4561712,C=C[C@]1(C)C[C@@H](OC(=O)COc2ccc3c(c2C)B(O)N(C(=O)OC)N=C3)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,0.006,CHEMBL 35
CHEMBL4871106,NC(=O)c1cccc2c(N[C@H](CN3CCC3)c3ccc(Cl)c(C(F)(F)F)c3)ncnc12,0.03,CHEMBL 35
CHEMBL5430344,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(-c4noc(CN5CCNCC5)n4)cc3OC)nc2N1C1CCCC1,0.045,CHEMBL 35
CHEMBL513909,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1,0.114,CHEMBL 35
CHEMBL5179778,CC(C)C[C@H](NC(=O)c1cc2c(F)cccc2[nH]1)C(=O)NN(C[C@@H]1CCNC1=O)C(=O)[C@H](F)Cl,0.0015,CHEMBL 35
CHEMBL3972276,COCCNc1cc(NC(=O)N2CCCc3cc(CO)c(C=O)nc32)ncc1C#N,0.12,CHEMBL 35
CHEMBL4646211,Cc1cc(C)c(-c2ccc(N)nn2)cc1NC(=O)c1ccc(OCc2ccccn2)cc1,0.029,CHEMBL 35
CHEMBL4642178,Cc1cc(N2C[C@H]3CC[C@@H](C2)[C@@H]3Nc2nc3c(OCC(F)F)ccc(C(F)(F)F)n3n2)ncn1,0.017,CHEMBL 35
CHEMBL4289161,N#Cc1cc(F)cc(C(=O)N2CCN([C@@H](C(=O)NCC(F)(F)C3CC3)c3ccccc3)CC2)c1,0.13,CHEMBL 35
CHEMBL4293510,NC(=O)c1cnc2c(N[C@H]3C[C@H]3F)cc(Nc3cccc(-c4ccc(C(F)(F)F)cc4F)c3)nn12,0.004,CHEMBL 35
CHEMBL4476111,CC(C)(C)Cc1cnc(CCc2ccc(-c3cccc(F)c3C(=O)O)cc2)n1CC(=O)O,0.1815,CHEMBL 35
CHEMBL5274596,CC1CN(c2ccncc2NC(=O)c2ccnn3cc(C4CC4)nc23)CCO1,0.031,CHEMBL 35
