Molecule_Name,Smiles,rat_CL_mL_min_kg,Source
CHEMBL176222,CC[C@]1(C(=O)O)CCc2ccc(OCCCOc3ccc(C4CCC5(CC4)CC5)cc3Cl)cc2O1,0.62,CHEMBL 35
CHEMBL186411,Cc1cc(Cl)nnc1N1CCN(C(=O)Nc2nc3ccc(F)cc3s2)[C@H](C)C1,1.833,CHEMBL 35
CHEMBL360240,C[C@]1(C(=O)O)CCc2ccc(OCCCOc3ccc(OCC(F)(F)F)cc3Cl)cc2O1,5.1,CHEMBL 35
CHEMBL362607,C[C@@H]1CCCN1CCc1cc2cc(C(=O)c3ccc(Cl)cc3)ccc2o1,11.33,CHEMBL 35
CHEMBL178853,CC(=O)c1cccc(-c2ccc3oc(CCN4CCC[C@H]4C)cc3c2)c1,141.33,CHEMBL 35
CHEMBL179372,Cc1cc(C(=O)c2ccc3oc(CCN4CCC[C@H]4C)cc3c2)ccc1Cl,36.33,CHEMBL 35
CHEMBL351231,C[C@@H]1CCCN1CCc1cc2cc(-c3ccc(C#N)cc3)ccc2o1,25,CHEMBL 35
CHEMBL196357,CC(C)Oc1ccc(-c2nc(-c3ccc(CN4CC(C(=O)O)C4)cc3)no2)cc1,4.1,CHEMBL 35
CHEMBL198976,O=C(O)C1CN(Cc2ccc(-c3noc(-c4ccc(C5CCCC5)cc4)n3)cc2)C1,70,CHEMBL 35
CHEMBL365049,CCCC[C@H](NC(=O)O[C@H](Cn1ccc(-c2ccc(C(F)(F)F)cc2)n1)C(C)(C)C)C(=O)C(=O)NCc1ccno1,3.2,CHEMBL 35
CHEMBL183129,O=C(Nc1ccccc1)Nc1ccc(C[C@@H](CO)NC[C@H](O)COc2ccccc2)cc1,141.8,CHEMBL 35
CHEMBL197801,O[C@@H]1[C@H](O)CO[C@H]1n1cc(-c2ccccc2)c2c(Nc3ccc(F)cc3)ncnc21,21.67,CHEMBL 35
CHEMBL194246,C(#Cc1ccccn1)C1=CC(Oc2ccncc2)CCC1,41,CHEMBL 35
CHEMBL360163,Cc1ccccc1NC(=O)Nc1ccc(CC(=O)N2CCOCC2C(=O)N2CCC(CC(=O)O)CC2)cc1,69.3,CHEMBL 35
CHEMBL108939,COc1ccccc1Oc1ccc(N(Cc2cccnc2)S(=O)(=O)CC(F)(F)F)cc1,70,CHEMBL 35
CHEMBL2332337,O=C(C(=O)N1CCN(C(=O)c2ccccc2)CC1)c1c[nH]c2c(-n3cncn3)ncc(F)c12,0.7,CHEMBL 35
CHEMBL94037,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](/C=C/c4ccno4)C3)[C@H](C)[C@H]12,18,CHEMBL 35
CHEMBL5093394,C[C@@H](C(=O)N1CCOCC1)N1CCC(n2c(=O)[nH]c3ccccc32)CC1,13,CHEMBL 35
CHEMBL5086717,C[C@H]1CN(C(=O)[C@H](C)N2CCC(n3c(=O)[nH]c4ccccc43)CC2)CCN1,39,CHEMBL 35
CHEMBL1276308,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,50,CHEMBL 35
CHEMBL651,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,59.3,CHEMBL 35
CHEMBL362453,CCCCC(c1ccc(F)cc1)N(CCC)c1nc(-c2ccc(Cl)cc2OC)n(C)n1,27.7,CHEMBL 35
CHEMBL196881,CS(=O)(=O)c1ccc(-c2nc3c(s2)CCN(C(=O)C[C@H](N)Cc2cc(F)ccc2F)C3)cc1,60,CHEMBL 35
CHEMBL367819,N#Cc1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)nc1OCc1ccc(F)c(F)c1,3.6,CHEMBL 35
CHEMBL3037806,O=C(OC1C[C@@H]2CC3C[C@@H](C1)N2CC3O)c1c[nH]c2ccccc12,94,CHEMBL 35
CHEMBL1231101,N[C@H](C(=O)O)[C@@H]1CC(Cl)=NO1,5.2,CHEMBL 35
CHEMBL2303613,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(C)c(CC(=O)O)s3)CS[C@H]12)c1csc(N)n1,1.1,CHEMBL 35
CHEMBL370805,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,260,CHEMBL 35
CHEMBL3972870,Cc1cnc(Oc2cc(Cl)c(F)c(-c3ccc4c(c3)CC[C@H](CCC(=O)O)O4)c2)s1,1.6,CHEMBL 35
CHEMBL5182115,CCCC1CNCc2c1[nH]c(=O)c(C#N)c2N1CCC(C)(C)CC1.Cl,46.67,CHEMBL 35
CHEMBL4847762,CC(C)C1OC(=O)N(C2CCCC2)c2nc(Nc3cc(F)c(O)c(F)c3)ncc21,67.5,CHEMBL 35
CHEMBL363749,Cc1ccnnc1N1CCN(C(=O)Nc2ccc(C(F)(F)F)cc2)[C@H](C)C1,55.83,CHEMBL 35
CHEMBL181921,CC(C)CC(=O)c1ccc(OCCCCOc2cccc(F)c2F)c(Br)c1O,75,CHEMBL 35
CHEMBL372049,O=C(O)[C@]1(OCc2ccc(-c3cc(C(F)(F)F)cc(C(F)(F)F)c3)cc2)C[C@@H](O)[C@@H](O)[C@H](O)C1,24,CHEMBL 35
CHEMBL199245,C[C@@H]1CCCN1CCc1cc2cc(Nc3cncnc3)ccc2o1,47,CHEMBL 35
CHEMBL381872,O=C(O)C1CN(Cc2ccc(-c3noc(-c4ccc(CCC(F)(F)F)cc4)n3)cc2)C1,5.3,CHEMBL 35
CHEMBL196707,Cc1c(CC(=O)O)c2cc(F)ccc2n1S(=O)(=O)c1ccc(S(C)(=O)=O)cc1,40,CHEMBL 35
CHEMBL363387,O=C(O)Cn1cc(Cc2nc3c(F)c(F)cc(F)c3s2)c2ccccc21,1.7,CHEMBL 35
CHEMBL189417,CCCC[C@H](NC(=O)O[C@H](Cc1nnc(-c2ccc(F)cc2)o1)C(C)(C)C)C(=O)C(=O)NCc1cccnc1,11,CHEMBL 35
CHEMBL4640438,O=C(N[C@H]1CN(S(=O)(=O)c2ccccc2)C[C@@H]1C(=O)N[C@H]1CCCNC1)c1cc(-c2ccccc2)on1,19,CHEMBL 35
CHEMBL4647797,Cc1ccc2[nH]c(C(=O)N[C@H]3CCN(S(=O)(=O)c4ccccc4)C[C@@H]3C(=O)NCCN(C)C)cc2c1,57,CHEMBL 35
CHEMBL5202937,CC/C(=C(/c1ccc(/C=C/C(=O)O)cc1)c1[nH]c2ccccc2c1Cl)c1ccc(F)cc1Cl,7.7,CHEMBL 35
CHEMBL4527700,Cn1ncc(NC(=O)[C@@H]2C[C@@H]3C[C@@H]3C[C@H]2C(=O)c2ccc(-c3cc[nH]n3)cc2)c1C(F)(F)F,9.8,CHEMBL 35
CHEMBL367891,C[C@]1(C(=O)O)CCc2ccc(OCCCOc3ccc(C4CCCC4)cc3Cl)cc2O1,6.8,CHEMBL 35
CHEMBL369731,Cc1ccccc1NC(=O)Nc1ccc(CC(=O)N2CCCC2C(=O)N2CCC(CC(=O)O)CC2)cc1,41.3,CHEMBL 35
CHEMBL186149,CCCC[C@H](NC(=O)O[C@H](Cc1nnc(-c2ccc(F)cc2)o1)C(C)(C)C)C(=O)C(=O)Nc1cc[nH]n1,33,CHEMBL 35
CHEMBL445144,CCc1cnc(NCc2ccc3oc(CCN4CCC[C@H]4C)cc3c2)nc1,79.83,CHEMBL 35
CHEMBL441472,CC(C)(C)c1ccc(NC(=O)N2CCN(c3ncccc3Cl)CC2)cc1,76.67,CHEMBL 35
CHEMBL4513977,C[C@H](CC[C@@H](O)C1CC1)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@](C)(O)CC[C@]4(C)[C@H]3CC[C@]12C,68.33,CHEMBL 35
CHEMBL4586043,CC(C)[C@H](O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@](C)(O)CC[C@]4(C)[C@H]3CC[C@]12C,38.33,CHEMBL 35
CHEMBL4303782,COc1cc2c(c(OC)n1)[C@]1(O)[C@H](O)[C@H](CN(C)C)[C@@H](c3ccccc3)[C@]1(c1ccc(C#N)cc1)O2,48,CHEMBL 35
CHEMBL5188931,Cc1nc(N2CCC3(CC2)CO[C@@H](C)[C@H]3N)c(Cl)c(=O)n1-c1cccc(Cl)c1Cl,41.3,CHEMBL 35
CHEMBL191178,CCCC[C@H](NC(=O)O[C@H](CN1CCN(c2ccc(C(F)(F)F)cc2)C1=O)C(C)(C)C)C(=O)C(=O)Nc1ccn[nH]1,55,CHEMBL 35
CHEMBL563,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,0.3183,CHEMBL 35
CHEMBL365822,CCCC[C@H](NC(=O)O[C@H](Cc1nnc(-c2ccc(C(F)(F)F)cc2)o1)C(C)(C)C)C(=O)C(=O)NN1CCOC1=O,11,CHEMBL 35
CHEMBL188929,CCCC[C@H](NC(=O)O[C@H](Cn1ccc(-c2ccc(C(F)(F)F)cc2)n1)C(C)(C)C)C(=O)C(=O)Nc1ccccn1,41,CHEMBL 35
CHEMBL191332,O=C(CC(=O)[C@]1(O)C[C@@H](O)[C@@H](O)[C@H](O)C1)Nc1cc(NC(=O)c2sc3ccccc3c2Cl)cc(C(=O)O)c1,12,CHEMBL 35
CHEMBL191230,O=C(CC(=O)[C@]1(O)C[C@@H](O)[C@@H](O)[C@H](O)C1)Nc1cc(NC(=O)c2cc3ccccc3s2)cc(C(=O)O)c1,35,CHEMBL 35
CHEMBL183319,Cc1c(OCCCCSc2ccncc2)ccc(C(=O)CC(C)C)c1O,33,CHEMBL 35
