Molecule_Name,Smiles,human_mrt,Source
¦Á-hANP,N1[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)Cc2ccc(cc2)O)CCCNC(=N)N)Cc2ccccc2)CO)CC(=O)N)CSSC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CO)CC(C)C)CCCNC(=N)N)CCCNC(=N)N)CO)CO)C(=O)N[C@H](C(=O)NCC(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](C)C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)NCC1=O)CC(C)C)CO)CCC(=O)N)[C@@H](C)CC)CCCNC(=N)N)CC(=O)O)CCSC)CCCNC(=N)N)Cc1ccccc1,0.13,10.1124/dmd.118.082966
(-)dOTC,c1cn(c(=O)nc1N)[C@H]2CO[C@H](S2)CO,6.5,10.1124/dmd.118.082966
(+)dOTC,c1cn(c(=O)nc1N)[C@@H]2CO[C@@H](S2)CO,3.6,10.1124/dmd.118.082966
"1,3-DCQA",O[C@@H]1C[C@@](C[C@@H](OC(=O)\C=C\c2ccc(O)c(O)c2)[C@@H]1O)(OC(=O)\C=C\c3ccc(O)c(O)c3)C(=O)O,1.5,10.1124/dmd.118.082966
16-acetyl gitoxin,C1([C@@H]2[C@@]3([C@@]([C@@H]4[C@@H]([C@@]5(CC[C@@H](O[C@@H]6O[C@@H](C)[C@@H]([C@@H](C6)O)O[C@@H]6O[C@@H](C)[C@@H]([C@@H](C6)O)O[C@@H]6O[C@@H](C)[C@@H]([C@@H](C6)O)O)C[C@@H]5CC4)C)CC3)(C[C@@H]2OC(=O)C)O)C)=CC(=O)OC1,72.3,10.1124/dmd.118.082966
1-Aminocyclopropanecarboxylic Acid,[H]N([H])C1(CC1)C(=O)O[H],7.8,10.1124/dmd.118.082966
"3,4-DCQA",C1[C@@](C[C@H]([C@H]([C@@H]1OC(\C=C\c1cc(c(cc1)O)O)=O)OC(\C=C\c1cc(c(cc1)O)O)=O)O)(C(=O)O)O,0.3,10.1124/dmd.118.082966
"3,5-DCQA",O[C@@H]1[C@@H](C[C@](O)(C[C@H]1OC(=O)\C=C\c2ccc(O)c(O)c2)C(=O)O)OC(=O)\C=C\c3ccc(O)c(O)c3,1.05,10.1124/dmd.118.082966
3-O-demethylfortimicin A,N([C@@H]1[C@@H]([C@@H]([C@@H]([C@@H](O[C@@H]2[C@@H](CC[C@@H](O2)[C@@H](C)N)N)[C@@H]1O)N)O)O)(C)C(CN)=O,3.3,10.1124/dmd.118.082966
852A,[H]N([H])c1c2c(c3ccccc3n1)n(CCCCN([H])S(C)(=O)=O)c(CC)n2,4.7,10.1124/dmd.118.082966
Abacavir,Nc1nc(NC2CC2)c3ncn([C@@H]4C[C@H](CO)C=C4)c3n1,1.1,10.1124/dmd.118.082966
Abanoquil,COc1cc2CCN(Cc2cc1OC)c3cc(N)c4cc(OC)c(OC)cc4n3,7.6,10.1124/dmd.118.082966
Abexinostat,CN(C)Cc1c2ccccc2oc1C(=O)NCCOc3ccc(cc3)C(=O)NO,2.65,10.1124/dmd.118.082966
Acamprosate,OS(=O)(=O)CCCNC(=O)C,1.54,10.1124/dmd.118.082966
Acarbose,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]([C@H](O)CO)[C@H](O)[C@@H](O)C=O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]3C=C(CO)[C@@H](O)[C@H](O)[C@H]3O,2.4,10.1124/dmd.118.082966
Acebutolol,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(c1)C(=O)C,2.8,10.1124/dmd.118.082966
Acecainide (N-acetylprocainamide),CCN(CC)CCNC(=O)c1ccc(NC(=O)C)cc1,7.9,10.1124/dmd.118.082966
Acenocoumarol,[H]OC1=C(C(=O)Oc2ccccc12)[C@H](CC(C)=O)c1ccc(cc1)[N+]([O-])=O,3.125,10.1124/dmd.118.082966
Acetaminophen,CC(=O)Nc1ccc(O)cc1,3.3,10.1124/dmd.118.082966
Acetazolamide,CC(=O)Nc1nnc(s1)S(=O)(=O)N,9.5,10.1124/dmd.118.082966
"Acetylcysteine, N-",CC(=O)N[C@@H](CS)C(=O)O,3,10.1124/dmd.118.082966
"Acetylmethadol, L-",CC[C@H](OC(=O)C)C(C[C@H](C)N(C)C)(c1ccccc1)c2ccccc2,26,10.1124/dmd.118.082966
Acetylsalicylic Acid,CC(=O)Oc1ccccc1C(=O)O,0.3,10.1124/dmd.118.082966
ACHT 4-10,CSCC[C@@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](Cc3c[nH]c4c3cccc4)C(=O)NCC(=O)O)N,0.01,10.1124/dmd.118.082966
Acivicin,N[C@@H]([C@@H]1CC(=NO1)Cl)C(=O)O,12,10.1124/dmd.118.082966
Aclidinium bromide,c1ccc(cc1)OCCC[N+]23CCC(CC2)[C@H](C3)OC(=O)C(c4cccs4)(c5cccs5)O,1.76,10.1124/dmd.118.082966
Actisomide,CC(C)N(CC[C@@]1(C(N=C(C)N2CCCC[C@H]12)=O)c1ccccc1)C(C)C,1.58,10.1124/dmd.118.082966
Acyclovir,NC1=Nc2c(ncn2COCCO)C(=O)N1,2.5,10.1124/dmd.118.082966
Adefovir,Nc1ncnc2c1ncn2CCOCP(=O)(O)O,1.9,10.1124/dmd.118.082966
Adinazolam,CN(C)Cc1nnc2CN=C(c3ccccc3)c4cc(Cl)ccc4n12,2.6,10.1124/dmd.118.082966
AFN-1252,Cc1c2ccccc2oc1CN(C)C(=O)/C=C/c3cc4c(nc3)NC(=O)CC4,8.4,10.1124/dmd.118.082966
AG-EE-388 ZW,C(c1c(cc(cc1)CC(=O)N[C@@H](CC(C)C)c1c(cccc1)N1CCCCC1)OCC)(=O)O,3,10.1124/dmd.118.082966
Ajmaline,CC[C@@H]1[C@H](N2[C@H]3CC1C4[C@@H]2CC5([C@H]3N(c6c5cccc6)C)[C@@H]4O)O,6.8,10.1124/dmd.118.082966
