Molecule_Name,Smiles,human_VDss_L_kg,Source,CAS
¦Á-hANP,N1[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)Cc2ccc(cc2)O)CCCNC(=N)N)Cc2ccccc2)CO)CC(=O)N)CSSC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CO)CC(C)C)CCCNC(=N)N)CCCNC(=N)N)CO)CO)C(=O)N[C@H](C(=O)NCC(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](C)C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)NCC1=O)CC(C)C)CO)CCC(=O)N)[C@@H](C)CC)CCCNC(=N)N)CC(=O)O)CCSC)CCCNC(=N)N)Cc1ccccc1,0.2,10.1124/dmd.118.082966,85637-73-6
(-)dOTC,c1cn(c(=O)nc1N)[C@H]2CO[C@H](S2)CO,1.18,10.1124/dmd.118.082966,160707-69-7
(+)dOTC,c1cn(c(=O)nc1N)[C@@H]2CO[C@@H](S2)CO,0.84,10.1124/dmd.118.082966,160707-68-6
"1,3-DCQA",O[C@@H]1C[C@@](C[C@@H](OC(=O)\C=C\c2ccc(O)c(O)c2)[C@@H]1O)(OC(=O)\C=C\c3ccc(O)c(O)c3)C(=O)O,0.79,10.1124/dmd.118.082966,19870-46-3
16-acetyl gitoxin,C1([C@@H]2[C@@]3([C@@]([C@@H]4[C@@H]([C@@]5(CC[C@@H](O[C@@H]6O[C@@H](C)[C@@H]([C@@H](C6)O)O[C@@H]6O[C@@H](C)[C@@H]([C@@H](C6)O)O[C@@H]6O[C@@H](C)[C@@H]([C@@H](C6)O)O)C[C@@H]5CC4)C)CC3)(C[C@@H]2OC(=O)C)O)C)=CC(=O)OC1,0.78,10.1124/dmd.118.082966,7242/7/1
1-Aminocyclopropanecarboxylic Acid,[H]N([H])C1(CC1)C(=O)O[H],0.73,10.1124/dmd.118.082966,22059-21-8
"3,4-DCQA",C1[C@@](C[C@H]([C@H]([C@@H]1OC(\C=C\c1cc(c(cc1)O)O)=O)OC(\C=C\c1cc(c(cc1)O)O)=O)O)(C(=O)O)O,0.63,10.1124/dmd.118.082966,14534-61-3
"3,5-DCQA",O[C@@H]1[C@@H](C[C@](O)(C[C@H]1OC(=O)\C=C\c2ccc(O)c(O)c2)C(=O)O)OC(=O)\C=C\c3ccc(O)c(O)c3,4.82,10.1124/dmd.118.082966,2450-53-5
3-O-demethylfortimicin A,N([C@@H]1[C@@H]([C@@H]([C@@H]([C@@H](O[C@@H]2[C@@H](CC[C@@H](O2)[C@@H](C)N)N)[C@@H]1O)N)O)O)(C)C(CN)=O,0.27,10.1124/dmd.118.082966,74842-47-0
5-Hydroxymethyl tolterodine,CC(C)N(CC[C@H](C(C=CC=C1)=C1)C1C(=CC=C(C=1)CO)O)C(C)C,2.41,10.1124/dmd.118.082966,207679-81-0
