Molecule_Name,Smiles,human_fup,Source,CAS/InChiKey
16-acetyl gitoxin,C1([C@@H]2[C@@]3([C@@]([C@@H]4[C@@H]([C@@]5(CC[C@@H](O[C@@H]6O[C@@H](C)[C@@H]([C@@H](C6)O)O[C@@H]6O[C@@H](C)[C@@H]([C@@H](C6)O)O[C@@H]6O[C@@H](C)[C@@H]([C@@H](C6)O)O)C[C@@H]5CC4)C)CC3)(C[C@@H]2OC(=O)C)O)C)=CC(=O)OC1,0.07,10.1124/dmd.118.082966,7242-07-1
5-Hydroxymethyl tolterodine,CC(C)N(CC[C@H](C(C=CC=C1)=C1)C1C(=CC=C(C=1)CO)O)C(C)C,0.5,10.1124/dmd.118.082966,207679-81-0
Abacavir,Nc1nc(NC2CC2)c3ncn([C@@H]4C[C@H](CO)C=C4)c3n1,0.5,10.1124/dmd.118.082966,136470-78-5
Acamprosate,OS(=O)(=O)CCCNC(=O)C,1,10.1124/dmd.118.082966,77337-76-9
Acebutolol,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(c1)C(=O)C,0.74,10.1124/dmd.118.082966,37517-30-9
Acecainide (N-acetylprocainamide),CCN(CC)CCNC(=O)c1ccc(NC(=O)C)cc1,0.9,10.1124/dmd.118.082966,32795-44-1
Acenocoumarol,[H]OC1=C(C(=O)Oc2ccccc12)[C@H](CC(C)=O)c1ccc(cc1)[N+]([O-])=O,0.02,10.1124/dmd.118.082966,152-72-7
Acetaminophen,CC(=O)Nc1ccc(O)cc1,0.52,10.1124/dmd.118.082966,103-90-2
Acetazolamide,CC(=O)Nc1nnc(s1)S(=O)(=O)N,0.04,10.1124/dmd.118.082966,59-66-5
"Acetylcysteine, N-",CC(=O)N[C@@H](CS)C(=O)O,0.17,10.1124/dmd.118.082966,616-91-1
"Acetylmethadol, L-",CC[C@H](OC(=O)C)C(C[C@H](C)N(C)C)(c1ccccc1)c2ccccc2,0.2,10.1124/dmd.118.082966,1477-40-3
Acetylsalicylic Acid,CC(=O)Oc1ccccc1C(=O)O,0.68,10.1124/dmd.118.082966,50-78-2
Actisomide,CC(C)N(CC[C@@]1(C(N=C(C)N2CCCC[C@H]12)=O)c1ccccc1)C(C)C,0.7,10.1124/dmd.118.082966,96914-39-5
Acyclovir,NC1=Nc2c(ncn2COCCO)C(=O)N1,0.85,10.1124/dmd.118.082966,59277-89-3
Adefovir,Nc1ncnc2c1ncn2CCOCP(=O)(O)O,0.96,10.1124/dmd.118.082966,106941-25-7
Adinazolam,CN(C)Cc1nnc2CN=C(c3ccccc3)c4cc(Cl)ccc4n12,0.31,10.1124/dmd.118.082966,37115-32-5
Ajmaline,CC[C@@H]1[C@H](N2[C@H]3CC1C4[C@@H]2CC5([C@H]3N(c6c5cccc6)C)[C@@H]4O)O,0.24,10.1124/dmd.118.082966,4360-12-7
Albuterol (salbutamol),CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,0.92,10.1124/dmd.118.082966,18559-94-9
Alectinib,CCc1cc2c(cc1N3CCC(CC3)N4CCOCC4)C(c5c(c6ccc(cc6[nH]5)C#N)C2=O)(C)C,0.003,10.1124/dmd.118.082966,1256580-46-7
Alendronate,C(P(O)(O)=O)(P(O)(O)=O)(CCCN)O,0.22,10.1124/dmd.118.082966,66376-36-1
Alfentanil,CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)c3ccccc3)C1=O,0.086,10.1124/dmd.118.082966,71195-58-9
Alfuzosin,COc1cc2nc(nc(N)c2cc1OC)N(C)CCCNC(=O)C3CCCO3,0.14,10.1124/dmd.118.082966,81403-80-7
Alinidine,N(c1c(cccc1Cl)Cl)(C=1NCCN1)CC=C,0.4,10.1124/dmd.118.082966,33178-86-8
Allopurinol,O=C1NC=Nc2[nH]ncc12,0.97,10.1124/dmd.118.082966,315-30-0
